id,title,title_fr,slug,path,country,latlng,source,type
locations:lbn_a3_0026,"Aain Aata",,[lbn],"[lbn,lbn_a1_04,lbn_a2_20]",,"{""lat"":33.43448044, ""lng"":35.78619191}",OCHA,node
locations:lbn_a3_0027,"Aain Abou Abdallah",,[lbn],"[lbn,lbn_a1_09,lbn_a2_22]",,"{""lat"":33.32245063, ""lng"":35.26030726}",OCHA,node
locations:lbn_a3_0028,"Aain Baal",,[lbn],"[lbn,lbn_a1_09,lbn_a2_22]",,"{""lat"":33.23878911, ""lng"":35.25460818}",OCHA,node
locations:lbn_a3_0029,"Aain Baalbek",,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":34.22378827, ""lng"":36.38561094}",OCHA,node
locations:lbn_a3_0030,"Aain Bou Souar",,[lbn],"[lbn,lbn_a1_07,lbn_a2_13]",,"{""lat"":33.46974479, ""lng"":35.5217416}",OCHA,node
locations:lbn_a3_0031,"Aain Bourday",,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":33.97170989, ""lng"":36.21400417}",OCHA,node
locations:lbn_a3_0032,"Aain Dara",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.78385909, ""lng"":35.75810027}",OCHA,node
locations:lbn_a3_0033,"Aain Drafil",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.75283504, ""lng"":35.49989612}",OCHA,node
locations:lbn_a3_0034,"Aain Ed-Delb",,[lbn],"[lbn,lbn_a1_09,lbn_a2_21]",,"{""lat"":33.54448254, ""lng"":35.40583454}",OCHA,node
locations:lbn_a3_0035,"Aain Ed-Delbeh Jbayl",,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.09083567, ""lng"":35.76149529}",OCHA,node
locations:lbn_a3_0036,"Aain Ed-Delbeh Kesrouane",,[lbn],"[lbn,lbn_a1_05,lbn_a2_18]",,"{""lat"":34.03862885, ""lng"":35.76573387}",OCHA,node
locations:lbn_a3_0037,"Aain Ej-Jaouz Baalbek",,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":33.85457749, ""lng"":36.30381872}",OCHA,node
locations:lbn_a3_0038,"Aain Ej-Jdideh Aaley",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.80703764, ""lng"":35.63021381}",OCHA,node
locations:lbn_a3_0039,"Aain El Halazoun",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.7712048, ""lng"":35.64905483}",OCHA,node
locations:lbn_a3_0040,"Aain El-Barnaya",,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":33.8915073, ""lng"":36.24426844}",OCHA,node
locations:lbn_a3_0041,"Aain El-Ghouaybeh",,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.08378861, ""lng"":35.85913324}",OCHA,node
locations:lbn_a3_0042,"Aain El-Kharroubeh",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.93270331, ""lng"":35.70178676}",OCHA,node
locations:lbn_a3_0043,"A'ain El-Mir (El Establ)",,[lbn],"[lbn,lbn_a1_09,lbn_a2_17]",,"{""lat"":33.53606181, ""lng"":35.46247895}",OCHA,node
locations:lbn_a3_0044,"Aain El-Qabu",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.93849283, ""lng"":35.76718642}",OCHA,node
locations:lbn_a3_0045,"Aain El-Qach",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.92491044, ""lng"":35.70178769}",OCHA,node
locations:lbn_a3_0046,"Aain Er-Rihane",,[lbn],"[lbn,lbn_a1_05,lbn_a2_18]",,"{""lat"":33.96350042, ""lng"":35.6480133}",OCHA,node
locations:lbn_a3_0047,"Aain Er-Roummaneh Aaley",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.80387997, ""lng"":35.58711821}",OCHA,node
locations:lbn_a3_0048,"Aain Es-Sindiane",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.90279639, ""lng"":35.72816531}",OCHA,node
locations:lbn_a3_0049,"Aain Es-Siyaa Chadoura",,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":33.95314755, ""lng"":36.27693389}",OCHA,node
locations:lbn_a3_0050,"Aain es-Sofsaf El-Matn",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.91188155, ""lng"":35.72717146}",OCHA,node
locations:lbn_a3_0051,"Aain Et-Teffaha",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.93401794, ""lng"":35.72584113}",OCHA,node
locations:lbn_a3_0052,"Aain Et-Tineh BG",,[lbn],"[lbn,lbn_a1_04,lbn_a2_24]",,"{""lat"":33.49270923, ""lng"":35.63644435}",OCHA,node
locations:lbn_a3_0053,"Aain Et-Tineh-Miniyeh",,[lbn],"[lbn,lbn_a1_08,lbn_a2_12]",,"{""lat"":34.39248078, ""lng"":36.04591417}",OCHA,node
locations:lbn_a3_0054,"Aain Ez-Zeit",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.59058457, ""lng"":36.19928177}",OCHA,node
locations:lbn_a3_0055,"Aain Ez-Zeitouneh",,[lbn],"[lbn,lbn_a1_06,lbn_a2_11]",,"{""lat"":33.90557189, ""lng"":35.74203141}",OCHA,node
locations:lbn_a3_0056,"Aain Ibl",,[lbn],"[lbn,lbn_a1_07,lbn_a2_07]",,"{""lat"":33.10867672, ""lng"":35.40046512}",OCHA,node
locations:lbn_a3_0057,"Aain Jarfa",,[lbn],"[lbn,lbn_a1_07,lbn_a2_14]",,"{""lat"":33.38255962, ""lng"":35.68516924}",OCHA,node
locations:lbn_a3_0058,"Aain Jrain",,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.08412538, ""lng"":35.76693454}",OCHA,node
locations:lbn_a3_0059,"Aain Kfaa",,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.18792473, ""lng"":35.69794226}",OCHA,node
locations:lbn_a3_0060,"Aain Kfar Zabad",,[lbn],"[lbn,lbn_a1_04,lbn_a2_25]",,"{""lat"":33.79107713, ""lng"":36.01041734}",OCHA,node
